"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_1_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_2_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_3_MJ059"
"0610007P14Rik"	7.68207931844546	8.21922767878505	7.57685574982453	6.8257467737808	6.97275568107554	6.91286002615564	5.69294928555345	5.61841133187442	5.08089135681277
"0610009B22Rik"	4.77701969282425	5.2828188375064	4.71913477715024	3.84083927218047	3.58390217824075	3.86713970448875	2.71356140454044	3.33022757737519	2.12521181273515
"0610009L18Rik"	0.374582585216632	1.33906532255049	0.289225793900441	0.640516101731551	1.0024997683956	0.690396725375608	3.84325772606782	3.28135862307906	4.51058515730941
"0610009O20Rik"	1.6837901607158	1.01567071963814	1.2748823895774	1.55215814975347	1.6861099193751	1.40017331574727	1.57724341223641	1.36088007082709	1.99271158605894
"0610010F05Rik"	1.10130967922502	0.405544370685415	0.266140268041112	0.301240723050537	0.26900861897387	-0.115266417853865	-0.651259084664315	-0.321799967394969	-0.489286915657258
"0610010K14Rik"	7.2921291856171	8.13031336992321	7.13394697392051	7.23315952420442	7.26703977202932	7.15695600178209	7.39911503841212	7.43794469848186	7.87714473077014
"0610011F06Rik"	6.25172899970436	6.77586240591204	6.21745335670939	6.52727593046904	6.54876904520926	6.4995595242753	7.0214306090318	6.93442783289765	7.06026910230181
"0610012G03Rik"	6.10480243243924	6.82732802222161	6.03956089662096	5.8325826018995	6.04967864289694	5.93921864059309	6.15423578439904	6.11239096070767	6.47030425721669
"0610030E20Rik"	2.61655853427858	2.91522568845003	2.44434031014493	2.5669094306653	2.56532346091908	2.68796197228955	2.85621270123736	2.83331411061357	3.34186228937624
"0610037L13Rik"	6.05967651798902	6.82072669476814	6.20963450030579	6.26292717719229	6.32266844989842	6.26019390404397	6.16430639534522	6.11807665692924	5.8562848645771
"0610039H22Rik"	0.592240683623284	1.64200201244033	0.612049124711534	2.50510649309793	2.04460170364138	2.05867794954382	4.11546204926256	4.1535473421351	5.48759680452112
"1110001J03Rik"	6.80412389988594	7.89949443730218	6.82548327175926	6.88356785567449	6.87583798177591	6.81498868546963	6.97939830531672	7.13383257168273	7.70562693327754
"1110002L01Rik"	1.46564089995559	1.78348898315417	1.37719144032272	0.826806584769684	0.488288463671589	0.256547039709785	-0.575468918964648	-0.412324221892614	-0.493711946318886
"1110004E09Rik"	6.74655820493122	7.29423255535152	6.69871430743441	6.15317456508402	6.43574285029903	6.40887661962221	5.22420753825563	5.20379160556086	5.0163917019971
"1110004F10Rik"	7.76561618797799	8.19012154575831	7.8025057177238	7.60701306070595	7.6648050992191	7.63306135545742	7.28803185854773	7.18407509890291	6.60303176467816
"1110006O24Rik"	-1.32851581439856	-0.910916992627038	-0.749055740377857	0.277312184004099	0.154869322457044	0.618509557366453	2.11647290967392	1.91487174649784	2.59378306058942
"1110007C09Rik"	3.6520961006574	3.91373530319188	3.29902186487832	4.3903445378923	4.38060718917683	4.32156783589396	6.28545310838554	6.30155616819833	6.38759878146166
"1110008F13Rik"	6.0259871909398	6.74467561685462	6.01672943021838	5.58289828053576	5.83176976175377	5.86122146735913	5.19041817194422	5.32205874788997	4.07879622806026
"1110008L16Rik"	2.9033425275834	2.12394700051676	2.98527401704662	2.27144978631091	2.5886693849305	2.74606411333211	1.2754468394093	1.29673570726334	0.599476073430185
"1110008P14Rik"	5.97066578047329	6.90632470271394	5.9056437864263	5.63523793359613	5.80562452626529	5.84254623839282	6.12187531547032	5.94198144546992	6.72452555780352
"1110012L19Rik"	4.28028324892959	4.74844604709104	4.08553912646144	4.42723120920308	4.33225636817858	4.26845909741762	4.88119580590517	4.88616008663471	4.75799649836509
"1110020A21Rik"	-4.04317369412819	-2.14991855863315	-2.70233338730247	-1.80301005635861	-1.54335800335532	-0.68542265507215	0.38635945831346	1.66123781221511	2.64309607789957
"1110032A03Rik"	1.09852286352123	1.17176609157093	0.535592987680787	1.06719652249921	1.51454040938052	1.25144229791667	2.75546626957521	2.77662170006161	2.87960529986261
"1110032F04Rik"	4.53130513020948	3.15327944280933	4.15084255076028	3.36544348950067	3.05465160523633	3.48677128808106	-1.77817220287662	-0.49506863188628	-1.56234527020122
"1110034G24Rik"	3.7441057755319	3.98496549438631	3.59662944535147	3.84703105756881	3.56971255618141	3.51331743466615	5.52530042689125	5.52563818398763	5.18628099079581
"1110037F02Rik"	0.967775986865557	0.95668705746248	0.39882835398088	1.16043130956282	0.604326503501914	0.763858888734016	0.850221694038723	1.14162124507393	2.14040422530061
"1110038B12Rik"	7.15628981341851	7.62751759693629	6.9584994549714	6.83290950201879	6.93716020777158	6.90008760802774	4.59051270211222	4.26527876109913	5.70274114351085
"1110038F14Rik"	6.12236296076844	6.86078479601192	6.11561327893318	6.0801511674471	6.18295678216477	6.28278969163996	6.21177667430261	6.27424066506088	6.55420286094466
"1110051M20Rik"	2.42630064164879	2.35350021164714	2.26322559540046	2.36500020832767	2.18003934042625	2.41846281594576	2.72119739669306	2.97087610918355	2.17904054626397
"1110059E24Rik"	5.03028832630016	5.07099316647239	4.98887806012513	4.98426141913948	4.58218691612734	4.4020976708538	4.7468115204686	4.4593272254345	3.779016715958
"1110059G10Rik"	3.08997696000434	3.67337702980174	2.99252235827324	2.98651285648083	2.7977887595064	2.5995439314923	2.95664869595331	3.22204072507898	3.33706177111346
"1110065P20Rik"	3.28459127445392	3.53337945851897	2.8404652932739	2.54652916427545	3.26496373440269	3.33633737793048	2.21125641283138	2.27049833010796	2.20425766152167
"1190002F15Rik"	0.0694634993351667	1.59452875869797	0.373481833060083	3.173711488667	2.1551079774107	2.76372912434702	4.70228139625989	4.84894645041486	6.08893318991064
"1190002N15Rik"	0.035246187227836	0.338363752282421	0.351169556429914	1.00081872661004	0.569428612563698	0.320716850417661	0.840742024219303	0.333587282039254	0.828670128959376
"1190007I07Rik"	6.60132240883897	7.46729232062511	6.40193846150076	6.16147059805277	6.32476034291652	6.06921462724152	4.83547485069575	4.87112042363904	5.53214329314576
"1200014J11Rik"	1.37217371303101	1.32316866612257	1.41416832307495	1.68782705366058	1.45990505926134	1.76731697056073	2.25328629850337	1.91901607412849	2.2143794506825
"1300002E11Rik"	3.57442324135355	4.07061098866781	3.56275961980198	3.40437756217462	3.35275398730461	3.32639518258479	4.18354477404354	4.1430978807481	3.92395469076357
"1500011B03Rik"	3.90964080938582	4.43204370286522	4.27240998663039	3.95554210219763	3.93266155641224	3.85229015447202	5.45163272478405	5.52822505473859	5.55664869556237
"1500011K16Rik"	6.17798206902246	7.13936777799252	6.02718506409949	5.97787817352999	6.05782938988965	5.97735546946059	5.17459272779191	5.26716019759141	6.16809651238964
"1500012F01Rik"	7.65960209430283	8.15903694640108	7.60086443423182	7.87165570526549	7.95473384137203	8.29977478239232	7.10178775201311	7.08444339609927	8.3258075871027
"1500015A07Rik"	1.82351175304178	2.02308417039756	2.17069532050344	1.78743381764448	1.88040581621446	1.3686005667373	1.89868603488203	1.96817590207134	2.35320910451412
"1600002H07Rik"	1.8371706759658	1.91221916448417	2.64703601821481	1.67536658307585	1.27721713794797	1.17634488721771	2.04356193620029	2.1490573998232	1.59998750755351
"1600002K03Rik"	6.56335183818358	7.06444132717478	6.298590668109	6.09443074028866	6.15776247180517	5.91434200685378	5.67058292283215	5.85317662206764	6.70964449789238
"1600012H06Rik"	2.2106062393269	2.58787396511784	2.53188756537373	2.29711176228357	2.23775733952533	2.17106831265914	2.24613165261567	2.59126834108335	2.05187321154781
"1600014C10Rik"	2.5572873577683	2.63443437029826	2.77074275234082	3.36420209585671	2.84621176523872	3.00985918402537	4.79820142496234	4.70667432631142	3.49333719064401
"1600020E01Rik"	4.72063514065143	5.27476614428748	4.76248405332424	5.33702855222428	5.37705476288995	5.57817793444207	6.34994857909251	6.37437201405623	6.43080519551426
"1700001L05Rik"	-0.522130205548029	-1.14020850106961	-2.05446240627889	-1.28170643410791	-1.84013443691764	-0.794207796101419	-6.70940076082329	-9.59284190320465	-9.59284190320464
"1700001O22Rik"	0.418936506432025	-0.292678235684831	0.521390427498666	-0.773443435605793	-0.0155765077989339	-0.326010426172861	-0.188333934838568	0.0269540168869755	-0.939351365171479
"1700007L15Rik"	3.84530285936435	4.26760392745248	3.69137657680807	3.87327561389127	3.800152748083	3.56450412047972	4.09351448482884	3.7723850189734	4.14812796373245
"1700008J07Rik"	-0.359735502123098	-0.0388635052913238	-0.188653543625209	-0.0186782059609027	-0.134331401508671	0.249446166063732	-0.500887897718669	-0.0658187206455387	-0.44920812480551
"1700010I14Rik"	-0.770988010263111	-0.221677393109167	-0.319392570291781	-0.379586568154399	-1.36984833381142	-1.49014859168282	1.35923579774424	1.25532767358716	1.60623312344209
"1700012D01Rik"	0.42790359627476	0.369998183804552	0.47504897704024	1.38851524864624	1.20261648225512	0.93555100907413	0.954345055658289	1.15060146487524	2.12697049030948
"1700017B05Rik"	3.17447258704939	3.18681640431867	3.43440155558686	2.96274595613537	3.40899337917236	3.28136703906221	3.96163103779816	3.78961481579998	3.06443271347403
"1700019G17Rik"	-0.133616424178971	-1.54830417771639	-0.112423771722598	0.474434008596266	-0.616046414357522	0.499135798242303	0.487198863915271	0.195855474702782	0.866659383996947
"1700020I14Rik"	4.5505919818726	4.88934980751569	4.4798920691276	4.25176250479873	4.10931338797619	4.1837089154175	4.18372825418411	4.40167783301798	3.99300898107618
