"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"23"	"1110032A03Rik"	1782	0.360882630918849	1.90006786343309	1.55104891521015	0.247346516061825	0.396541489952182
"24"	"1110032F04Rik"	2578	-0.628880769330751	5.01139798503005	7.77758666100942	0.0230131423433488	0.084084279063256
"25"	"1110034G24Rik"	1471	-0.113435852003903	4.18643651640344	0.400907346217875	0.543849748137924	0.676717640600675
"26"	"1110037F02Rik"	7115	0.0875503629087699	3.57449369360473	0.186390158194638	0.677051247146001	0.781002549738115
"27"	"1110038B12Rik"	589	-0.339170978356244	6.23764733090622	4.36806761332022	0.0691310348853306	0.16951962724795
"28"	"1110038F14Rik"	1091	-0.165555668436612	6.33276963612738	0.828561755341802	0.388628269961005	0.542191035517742
"29"	"1110051M20Rik"	1979	-0.00762279822112755	3.23873450102212	0.00155221280022896	0.969514124281804	0.981466857762171
"30"	"1110059E24Rik"	1428	-0.355420285862857	5.28798678391558	4.3440509595533	0.0697582535453889	0.170343390339631
"31"	"1110059G10Rik"	3361	-0.439453926568288	4.71838402467743	5.38071792066493	0.0481493804182603	0.134551204986101
"32"	"1110065P20Rik"	762	-0.148165213393803	2.69580924530975	0.279650413666236	0.610923522167422	0.730634391533251
"33"	"1190002F15Rik"	607	2.01716418122299	1.32018182537873	15.4327846629239	0.0041481323391153	0.0288070974198831
"34"	"1190002N15Rik"	3950	0.406284988991128	2.37540645028519	2.1166720857374	0.182840181063	0.323896813769053
"35"	"1190007I07Rik"	748	-0.620015498936246	6.07113720850506	11.3807223080148	0.00937176865320118	0.0480174667086749
"36"	"1200014J11Rik"	6284	0.287290601058715	4.08081322535617	2.86354161948158	0.128096391539538	0.255051280946024
"37"	"1300002E11Rik"	3959	-0.356461517365513	5.46374265947178	4.6300042495565	0.0627365721625206	0.159487135465344
"38"	"1500011B03Rik"	1739	-0.273815455607453	4.78288871741084	2.40585143846991	0.158515976193468	0.294722721294584
"39"	"1500011K16Rik"	811	-0.424698806777212	5.89495166648997	4.1666054436564	0.0746258353008165	0.17837310121437
"40"	"1500012F01Rik"	738	0.253693318002659	7.41562826545381	1.94098678445264	0.200120144013407	0.344586168565889
"41"	"1500015A07Rik"	1864	-0.30818501406539	2.68110911146697	1.51001634051949	0.253188789686937	0.403203343725184
"42"	"1600002H07Rik"	2143	-0.738536603330899	2.85880166238809	6.59161751794197	0.0325739575585294	0.105215316086287
"43"	"1600002K03Rik"	651	-0.568530913223056	5.68633304490626	12.4252952368226	0.00747258013500915	0.0419689500697399
"44"	"1600012H06Rik"	2756	-0.190800677255372	3.72397154012829	1.02500157161632	0.340236935233072	0.494618843044627
"45"	"1600014C10Rik"	3450	0.437405079178004	4.59047256976743	5.53870936162649	0.0456476783464045	0.129675742964164
"46"	"1600020E01Rik"	681	0.530088236205536	4.56706823645869	7.97485199332099	0.0217842290605428	0.0815955926691904
"47"	"1700001L05Rik"	6003	-0.0677187381755534	1.34446585362192	0.0214029002281436	0.887214924628179	0.928688766201082
"48"	"1700001O22Rik"	1591	-0.577739304003113	0.629546048219154	1.65763214493472	0.233025774201475	0.381207108922462
"49"	"1700007L15Rik"	747	-0.171050480859027	3.34821788025148	0.760982108816021	0.407805949643232	0.559603411272782
"50"	"1700008J07Rik"	2432	0.248323899911665	1.15679755385234	0.536703498479374	0.484188100661708	0.625894264696395
