"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_1_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_2_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_3_MJ059"
"0610007P14Rik"	7.92696637756899	8.46411473790859	7.82174280894807	7.07063383290433	7.21764274019907	7.15774708527918	5.93783634467699	5.86329839099795	5.3257784159363
"0610009B22Rik"	4.44604645833388	4.95184560301603	4.38816154265987	3.5098660376901	3.25292894375038	3.53616646999838	2.38258817005007	2.99925434288482	1.79423857824478
"0610009L18Rik"	-0.317406100231191	0.647076637102664	-0.402762891547382	-0.0514725837162712	0.310511082947773	-0.00159196007221412	3.15126904062	2.58936993763124	3.81859647186159
"0610009O20Rik"	2.94922705676489	2.28110761568724	2.54031928562649	2.81759504580257	2.95154681542419	2.66561021179637	2.84268030828551	2.62631696687619	3.25814848210804
"0610010F05Rik"	3.15094044694962	2.45517513841002	2.31577103576571	2.35087149077514	2.31863938669847	1.93436434987074	1.39837168306029	1.72783080032963	1.56034385206734
"0610010K14Rik"	7.16081595093924	7.99900013524534	7.00263373924264	7.10184628952655	7.13572653735145	7.02564276710423	7.26780180373426	7.30663146380399	7.74583149609227
"0610011F06Rik"	5.94950281925955	6.47363622546723	5.91522717626457	6.22504975002422	6.24654286476445	6.19733334383049	6.71920442858698	6.63220165245284	6.758042921857
"0610012G03Rik"	6.66159967903198	7.38412526881435	6.59635814321371	6.38937984849225	6.60647588948969	6.49601588718584	6.71103303099178	6.66918820730041	7.02710150380944
"0610030E20Rik"	4.82881657848132	5.12748373265277	4.65659835434766	4.77916747486803	4.77758150512182	4.90022001649229	5.06847074544009	5.0455721548163	5.55412033357898
"0610037L13Rik"	6.69287520436302	7.45392538114215	6.84283318667979	6.8961258635663	6.95586713627242	6.89339259041797	6.79750508171923	6.75127534330325	6.4894835509511
"0610039H22Rik"	0.138209052728576	1.18797038154562	0.158017493816827	2.05107486220322	1.59057007274667	1.60464631864911	3.66143041836785	3.69951571124039	5.03356517362641
"1110001J03Rik"	5.62297446078137	6.71834499819761	5.64433383265469	5.70241841656993	5.69468854267135	5.63383924636506	5.79824886621215	5.95268313257817	6.52447749417297
"1110002L01Rik"	3.18810692442668	3.50595500762526	3.09965746479381	2.54927260924077	2.21075448814268	1.97901306418088	1.14699710550644	1.31014180257848	1.2287540781522
"1110004E09Rik"	6.96440930174235	7.51208365216265	6.91656540424554	6.37102566189515	6.65359394711016	6.62672771643334	5.44205863506676	5.42164270237199	5.23424279880823
"1110004F10Rik"	8.25104301514823	8.67554837292856	8.28793254489404	8.09243988787619	8.15023192638934	8.11848818262766	7.77345868571797	7.66950192607315	7.0884585918484
"1110006O24Rik"	-1.70933759833949	-1.29173877656797	-1.12987752431879	-0.103509599936832	-0.225952461483887	0.237687773425522	1.73565112573299	1.53404996255691	2.21296127664848
"1110007C09Rik"	3.33736350717424	3.59900270970872	2.98428927139517	4.07561194440914	4.06587459569368	4.0068352424108	5.97072051490238	5.98682357471518	6.0728661879785
"1110008F13Rik"	6.0963765188312	6.81506494474602	6.08711875810977	5.65328760842715	5.90215908964517	5.93161079525053	5.26080749983562	5.39244807578137	4.14918555595166
"1110008L16Rik"	4.54350068254668	3.76410515548004	4.6254321720099	3.91160794127419	4.22882753989378	4.38622226829539	2.91560499437259	2.93689386222662	2.23963422839347
"1110008P14Rik"	5.36463105613354	6.30028997837419	5.29960906208654	5.02920320925637	5.19958980192553	5.23651151405306	5.51584059113056	5.33594672113016	6.11849083346376
"1110012L19Rik"	4.36025862565019	4.82842142381164	4.16551450318204	4.50720658592368	4.41223174489918	4.34843447413821	4.96117118262577	4.9661354633553	4.83797187508569
"1110020A21Rik"	-3.75629254634003	-1.86303741084499	-2.4154522395143	-1.51612890857045	-1.25647685556716	-0.398541507283989	0.673240606101621	1.94811896000327	2.92997722568773
"1110032A03Rik"	1.93202020038107	2.00526342843077	1.36909032454062	1.90069385935905	2.34803774624035	2.0849396347765	3.58896360643504	3.61011903692145	3.71310263672244
"1110032F04Rik"	5.89755739390905	4.5195317065089	5.51709481445985	4.73169575320024	4.42090386893589	4.85302355178063	-0.411919939177053	0.871183631813284	-0.196093006501655
"1110034G24Rik"	4.30090302212464	4.54176274097905	4.15342669194422	4.40382830416155	4.12650980277416	4.07011468125889	6.082097673484	6.08243543058037	5.74307823738856
"1110037F02Rik"	3.79863974361731	3.78755081421424	3.22969211073264	3.99129506631457	3.43519026025367	3.59472264548577	3.68108545079048	3.97248500182569	4.97126798205237
"1110038B12Rik"	6.39262935258688	6.86385713610466	6.19483899413978	6.06924904118716	6.17349974693995	6.13642714719611	3.82685224128059	3.50161830026751	4.93908068267922
"1110038F14Rik"	6.24801406242996	6.98643589767344	6.2412643805947	6.20580226910862	6.3086078838263	6.40844079330148	6.33742777596413	6.3998917667224	6.67985396260618
