"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"0610007P14Rik"	1185	1.41571722969861	7.29025196019552	36.0593794823878	4.51543897194989e-05	0.000279408077987363
"2"	"0610009B22Rik"	795	0.95761769828212	3.77480381886013	9.1905764467057	0.00968824169360342	0.0210653158719814
"3"	"0610009L18Rik"	619	-3.17719958266325	1.98707433392377	50.8278782222164	7.95206539484615e-06	7.59584833905471e-05
"4"	"0610009O20Rik"	2404	-0.114231008777628	2.80567839810452	0.144865126955502	0.709672351314136	0.765293508215999
"5"	"0610010F05Rik"	4140	0.6455229135483	2.24280618824022	3.64839573462998	0.0785602893134796	0.123161661374535
"6"	"0610010K14Rik"	913	-0.368211362994172	7.34462916910693	1.98297352523366	0.182670064291969	0.251201889322031
"7"	"0610011F06Rik"	811	-0.480949012268917	6.37771668109989	5.55401829235629	0.0348882461479146	0.0617817701427061
"8"	"0610012G03Rik"	1471	-0.311204594660449	6.75771297668202	1.73266830622441	0.21093254319909	0.283505254217373
"9"	"0610030E20Rik"	4634	-0.421526949425224	4.99657488671647	3.47935049161203	0.0849930330951355	0.131718696343758
"10"	"0610037L13Rik"	1551	0.229580291318672	6.88667132636763	1.05387267439992	0.32344333216742	0.406349259486521
"11"	"0610039H22Rik"	730	-2.51798017088871	3.02616071001065	33.4638437907543	6.47421691806712e-05	0.000369240238424318
"12"	"1110001J03Rik"	441	-0.448877416571942	5.97994843301842	2.20976688423764	0.161117217733628	0.226471931600962
"13"	"1110002L01Rik"	3300	1.03577513188094	2.49744379574304	11.588509746898	0.00473877550465185	0.0115854268879191
"14"	"1110004E09Rik"	1163	1.18680261929631	6.53540049695414	29.8702941941362	0.000110525940101437	0.000562090852232839
"15"	"1110004F10Rik"	1400	0.579959834319666	8.07084633445669	6.74336685170561	0.0222217998631818	0.0424211848056803
"16"	"1110006O24Rik"	768	-1.87451111277924	0.781945940565659	19.91188356493	0.000648679431894241	0.00229032195156613
"17"	"1110007C09Rik"	804	-1.96125354232083	4.92713570712122	78.0525453458896	7.74110221088578e-07	1.54372083159791e-05
"18"	"1110008F13Rik"	1050	0.801490960578292	5.84871894802465	6.5744327744189	0.0236412109606507	0.0446006545986726
"19"	"1110008L16Rik"	3117	1.45375504868802	3.92578991112735	22.7352675103943	0.000372928833094946	0.00147251730562806
"20"	"1110008P14Rik"	657	-0.538116519869169	5.55258240629538	3.31342301870142	0.0919374778128042	0.140684868226044
"21"	"1110012L19Rik"	1057	-0.499251315021016	4.62953565468345	4.77616062730472	0.0478675097814577	0.0807189935248272
"22"	"1110020A21Rik"	1220	-3.09690495660695	0.772877132749885	23.5382965346948	0.000321295464174097	0.00130318657489399
"23"	"1110032A03Rik"	1782	-1.51462895997572	2.76943459406271	26.4069075729919	0.000193786507823899	0.000875104449654672
"24"	"1110032F04Rik"	2578	4.46649312200411	4.53851218216134	106.309879176417	1.3255799961831e-07	5.32199656280072e-06
"25"	"1110034G24Rik"	1471	-1.77101092351105	5.08686969838875	64.0630248348482	2.30735259326316e-06	3.2159454148531e-05
"26"	"1110037F02Rik"	7115	-0.62420342692903	3.91870990961515	3.35510451822625	0.0901302343025242	0.138365727880709
"27"	"1110038B12Rik"	589	1.90466418390098	5.90665778480436	31.9414403486537	8.07674395459809e-05	0.000439221028388144
"28"	"1110038F14Rik"	1091	-0.169959075831621	6.44605686472278	0.526899037521896	0.480849389191918	0.562121249103109
