"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"29"	"1110051M20Rik"	1979	-0.313186239677473	3.44594223310565	1.37288569070859	0.262459495823421	0.320794232140934
"30"	"1110059E24Rik"	1428	0.646324560892986	5.23715192502044	6.1016948732498	0.0282171884600175	0.0446354603631171
"31"	"1110059G10Rik"	3361	0.103579305655943	4.85473826781806	0.182034432349808	0.676649966815289	0.727455862303009
"32"	"1110065P20Rik"	762	1.01684516603562	2.53966454992143	9.67239665815221	0.00833361677992118	0.0151276780755969
"33"	"1190002F15Rik"	607	-4.55144009769888	3.328386736096	73.7644891240296	1.06132296087023e-06	8.74761619232094e-06
"34"	"1190002N15Rik"	3950	-0.437087279662173	2.53956093352551	1.95303361313283	0.185783318765855	0.236497516754453
"35"	"1190007I07Rik"	748	1.78599591496731	5.82462125572776	35.0775533391732	5.16258506042819e-05	0.000192461919951466
"36"	"1200014J11Rik"	6284	-0.765875177228102	4.40792928830574	12.3136194561813	0.00387683122837068	0.00774913873302097
"37"	"1300002E11Rik"	3959	-0.332650644360075	5.75188250683022	2.520289558222	0.136537832581149	0.179984076345909
"38"	"1500011B03Rik"	1739	-1.29243998384455	5.52574428854792	39.2019948103527	2.99416221360803e-05	0.000122762832196381
"39"	"1500011K16Rik"	811	0.927990836475349	5.79950332529521	8.0364067441254	0.0141244444541145	0.02414033781527
"40"	"1500012F01Rik"	738	0.200315839784031	7.40995506566085	0.397925660614911	0.539155337457711	0.598834622368898
"41"	"1500015A07Rik"	1864	-0.0726730289275306	2.8497572570777	0.0648632410846486	0.802974766669995	0.836506654351734
"42"	"1600002H07Rik"	2143	0.230372674464478	2.98762636451747	0.539199598563725	0.47587350776269	0.538328611081818
"43"	"1600002K03Rik"	651	0.526236466552262	5.70466768530432	3.2876143154822	0.0930785757537055	0.128739281603631
"44"	"1600012H06Rik"	2756	0.137434356293536	3.80533016311619	0.313047434135375	0.585380124638635	0.642723739027442
"45"	"1600014C10Rik"	3450	-1.78581482297779	5.39636757463216	32.9021352087773	7.01845215940877e-05	0.000248743625153115
"46"	"1600020E01Rik"	681	-1.44461437924817	5.16312943182775	42.9595214998053	1.89192118945331e-05	8.52110691726603e-05
"47"	"1700001L05Rik"	6003	6.90193477622662	0.867080791764571	65.4701708270551	2.0493002345198e-06	1.45561214999271e-05
"48"	"1700001O22Rik"	1591	0.564901838465903	0.626484185743173	1.54983418087087	0.23525567589058	0.29160128277899
"49"	"1700007L15Rik"	747	-0.0589173381299479	3.4966361150824	0.0508823022470411	0.825061960107965	0.854234595143514
"50"	"1700008J07Rik"	2432	0.132211906720309	1.16789399340543	0.124737681342673	0.729644415345061	0.774319597410071
"51"	"1700010I14Rik"	1878	-1.83687274551513	1.32377324772984	18.7874408677765	0.000820226924784143	0.00200530264817589
"52"	"1700012D01Rik"	695	-1.07052886040256	0.626325684959533	5.50056596077089	0.035634155116177	0.0549097220815693
"53"	"1700017B05Rik"	4934	-0.384709849712378	5.70245842763856	2.36543206183481	0.148159749942127	0.193050952067087
"54"	"1700019G17Rik"	3278	-0.99323394104993	1.88714099842363	4.77703564219028	0.0478499705033031	0.0713066546082281
"55"	"1700020I14Rik"	1549	0.447819219256592	4.99575850754003	4.38180068531814	0.0566146578048803	0.0828542578554122
"56"	"1700021F05Rik"	898	0.979457257561289	5.20183598212687	14.1028925731951	0.00242493508958121	0.00513145621797729
"57"	"1700021K19Rik"	5343	-0.162452071318492	2.05550200985953	0.149895127693059	0.704934274236866	0.752681744297372
"58"	"1700025G04Rik"	9754	-2.15892031670427	2.97481435176676	43.957018496875	1.68376746393937e-05	7.73269079283682e-05
"59"	"1700028E10Rik"	2718	-1.59920249404712	1.37396917877394	19.5929451010243	0.000692712326232612	0.00173948138016584
"60"	"1700028J19Rik"	1187	0.885076466155715	1.38560730637663	4.04545519163548	0.0656182429963966	0.0945896636068674
"61"	"1700030C10Rik"	1724	0.148175589571601	0.25725890329533	0.0678665662374309	0.798572301259992	0.832426583402657
"62"	"1700030K09Rik"	2427	0.842231494715151	3.18699117533758	7.80604571593996	0.0152733327863473	0.025848726227248
"63"	"1700037C18Rik"	1097	0.367286691589781	3.42046487875964	1.75953170742454	0.207640270215803	0.260513512851321
"64"	"1700037H04Rik"	1241	1.07005195528336	6.10829528077322	26.5313409828821	0.000189749688176148	0.000578193683686467
"65"	"1700048O20Rik"	1848	1.43922048380395	1.31998757148637	9.24617767387712	0.00951946456397657	0.0169803986096062
"66"	"1700052K11Rik"	2413	-0.541870703521101	2.72097007846118	3.14601893286216	0.099654705687912	0.136494011868385
"67"	"1700056E22Rik"	967	-4.4337995621393	2.25043600011715	111.622545403689	9.97879251457089e-08	1.60993864925811e-06
"68"	"1700061G19Rik"	2455	-3.71336825232574	1.13312030461171	40.6140173162936	2.5100104757335e-05	0.000106505892275901
