"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"0610007P14Rik"	1185	-0.94928209053697	7.29025196019552	16.6090180408917	0.00132682249693731	0.0202030838866988
"2"	"0610009B22Rik"	795	-1.17971298304027	3.77480381886013	14.1070443363126	0.00242239361723711	0.0302152446577221
"3"	"0610009L18Rik"	619	0.0580343978115216	1.98707433392377	0.0173684706702074	0.897179843895241	0.951518892453745
"4"	"0610009O20Rik"	2404	0.198384161770352	2.80567839810452	0.433930059227121	0.521627304520972	0.736642681487573
"5"	"0610010F05Rik"	4140	-0.476589267969565	2.24280618824022	2.03231334288695	0.177683378435088	0.411776722335025
"6"	"0610010K14Rik"	913	-0.368323981669977	7.34462916910693	1.9836278819292	0.182602769416116	0.417808718566779
"7"	"0610011F06Rik"	811	0.0872934445027766	6.37771668109989	0.183408042881813	0.675509606074099	0.834080698129456
"8"	"0610012G03Rik"	1471	-0.426562765704882	6.75771297668202	3.24925589603636	0.09480652031161	0.291606266570935
"9"	"0610030E20Rik"	4634	-0.0634814594415949	4.99657488671647	0.0789521643748368	0.783169311042845	0.896171696604138
"10"	"0610037L13Rik"	1551	-0.119813591760451	6.88667132636763	0.287281757205873	0.601068839744321	0.789190793931034
"11"	"0610039H22Rik"	730	1.19976356805447	3.02616071001065	7.42800910622982	0.0174047674885201	0.10673400969392
"12"	"1110001J03Rik"	441	-0.413564283827258	5.97994843301842	1.87554521972961	0.194162482430774	0.432689646500934
"13"	"1110002L01Rik"	3300	-1.01031190118221	2.49744379574304	11.4397668828424	0.00494206231667456	0.0483091903929107
"14"	"1110004E09Rik"	1163	-0.601052450752332	6.53540049695414	7.84637502371805	0.0150645207955026	0.0974935539307501
"15"	"1110004F10Rik"	1400	-0.297328464239717	8.07084633445669	1.78190957449366	0.204948489689409	0.443745645044817
"16"	"1110006O24Rik"	768	1.34732528183473	0.781945940565659	8.77965807220325	0.011049856942764	0.0808330460197353
"17"	"1110007C09Rik"	804	0.723471883712327	4.92713570712122	11.0097571205614	0.00558931380968264	0.0522015453477047
"18"	"1110008F13Rik"	1050	-0.540246177824234	5.84871894802465	3.01723138702385	0.106134024282825	0.310574883988277
"19"	"1110008L16Rik"	3117	-0.171878119894671	3.92578991112735	0.334770179489849	0.572806582624388	0.769180305227784
"20"	"1110008P14Rik"	657	-0.572654704896357	5.55258240629538	3.74753144527047	0.0750609952898211	0.25537137027103
"21"	"1110012L19Rik"	1057	-0.0537451316951356	4.62953565468345	0.0553627940278541	0.817667541664573	0.912468572201105
"22"	"1110020A21Rik"	1220	1.57471544321691	0.772877132749885	4.56538894014579	0.0523245311674393	0.206891643338165
"23"	"1110032A03Rik"	1782	0.332295134326067	2.76943459406271	1.27366783749991	0.279588857787825	0.527786781536674
"24"	"1110032F04Rik"	2578	-0.740297110106536	4.53851218216134	4.11551764730691	0.0636090131225751	0.230689286123439
"25"	"1110034G24Rik"	1471	-0.132930600688361	5.08686969838875	0.377943012996101	0.54937464586101	0.75467423284676
"26"	"1110037F02Rik"	7115	0.0647388658779369	3.91870990961515	0.0360921271631989	0.852276019929578	0.929982911658298
"27"	"1110038B12Rik"	589	-0.384345634529299	5.90665778480436	1.39936091021262	0.258130079576212	0.504119749972836
"28"	"1110038F14Rik"	1091	-0.225897222452132	6.44605686472278	0.930052418726145	0.352544027511049	0.596943577390208
"29"	"1110051M20Rik"	1979	-0.0246575646931615	3.44594223310565	0.00849513589469734	0.927976720421878	0.965847567847703
"30"	"1110059E24Rik"	1428	-0.353544776330355	5.23715192502044	1.83802117988178	0.19839481581286	0.436016069742308
